stall_description,lon,has_run_out,has_nothing,has_caek,has_bbq,latest_report,first_report,stall_website,lat,stall_name,extra_info,source,has_other,wheelchairaccess,entrancesdesc,polling_place_type,booth_info,opening_hours,premises,address,polling_place_name,division,state,ess_stall_id,ess_stall_url
,153.1105311,FALSE,FALSE,FALSE,FALSE,,,,-27.1967358,,,,,Assisted,Seaville Ave Hall,,,,Scarborough Freemasons Centre,"Scarborough Freemasons Centre, 72 Seaville Ave, SCARBOROUGH, QLD 4020",Scarborough North,Petrie,QLD,,
Sausages and drinks,144.909,FALSE,FALSE,FALSE,TRUE,2016-06-25 07:45:24.408897+00,2016-06-25 07:45:24.408897+00,,-37.7688,Moonee Pinds West Primary School Sausage Sizzle,,Election Sausage Sizzle,{},Assisted,"Athol St - 2 pedestrian gates open,1 car gate shut Eglington - 3 pedestrian gates open. Lennox St - 1 cargate shut.",Public School,,,Moonee Ponds West Primary School,"Moonee Ponds West Primary School, 150 Athol St, MOONEE PONDS, VIC 3039",Moonee Ponds West,Maribyrnong,VIC,3020,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3020/Moonee-Ponds-West-Primary-School-Moonee-Pinds-West-Primary-School-Sausage-Sizzle/no
,153.0351509,FALSE,FALSE,FALSE,FALSE,,,,-27.2442754,,,,,Assisted,Bonnet Pde Mango Hill Hall,State School,,,Mango Hill State School,"Mango Hill State School, Bonnet Pde, MANGO HILL, QLD 4509",Mango Hill South,Petrie,QLD,,
,153.04954,FALSE,FALSE,FALSE,FALSE,,,,-27.62346,,,,,Assisted,Entrance via Kameruka St,,,,Salvation Army Hall,"Salvation Army Hall, 54 Kameruka St, CALAMVALE, QLD 4116",Calamvale East,Rankin,QLD,,
"Sausages, soft drinks and water",153.08053,FALSE,FALSE,FALSE,TRUE,2016-06-29 12:24:01.094083+00,2016-06-29 12:24:01.094083+00,,-27.69128,St Francis College Sausage Sizzle,,,{},Assisted,Enrtance via Julie Street,,,,St Francis College,"St Francis College, 64 Julie St, CRESTMEAD, QLD 4132",Crestmead South,Rankin,QLD,3613,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3613/Crestmead-South/no
sausage sizzle,152.995,FALSE,FALSE,FALSE,TRUE,2016-07-01 22:24:11.118553+00,2016-07-01 22:24:11.118553+00,,-27.4774,qld scouts,,,{},Assisted,Dixon St,Community Hall,,,Qld Scout Centre,"Qld Scout Centre, 32 Dixon St, AUCHENFLOWER, QLD 4066",Auchenflower,Ryan,QLD,,
,153.151,FALSE,FALSE,FALSE,FALSE,,,,-27.6646,,,,,Assisted,Entrance via Evans Rd-off Univeristy Dr,,,,Griffith University Logan Campus,"Griffith University Logan Campus, University Drive, MEADOWBROOK, QLD 4131",Meadowbrook (Rankin),Rankin,QLD,,
,153.098,FALSE,FALSE,FALSE,FALSE,,,,-27.643,,,,,None,Entrance off Wembley Road,Public School,,,Woodridge State High School,"Woodridge State High School, 323 Wembley Rd, WOODRIDGE, QLD 4114",Woodridge,Rankin,QLD,,
"Sausages, bread, drinks, bacon and egg burgers, onions",153.11,FALSE,FALSE,FALSE,TRUE,2016-06-29 12:23:58.759252+00,2016-06-29 12:23:58.759252+00,,-27.6866,Marsden SHS NASA sausage sizzle,,,"{""has_bacon_and_eggs"":true}",Assisted,Entrance via car park off Moffat Rd,Public School,,,Marsden State High School,"Marsden State High School, 106 Muchow Rd, WATERFORD WEST, QLD 4133",Marsden (Rankin),Rankin,QLD,3614,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3614/Marsden-(Forde)/no
"Cakes for everyone including gluten-free, dairy-free, nut free  and egg-free treats.  There will be also be bacon and egg rolls, sausage sandwiches and vegetarian options.  •	Bacon and egg roll $5 •	Sausages and vego Sandwiches $3 •	Gluten free bread 50c",149.155,FALSE,FALSE,TRUE,TRUE,2016-06-28 14:09:04.274894+00,2016-06-25 07:43:18.167888+00,,-35.2385,Watson Cake Stall and Breakfast Sausage Sizzle,,,"{""has_bacon_and_eggs"":true}",Assisted,Entrance to Polling Place: Entry is directly into external doors of School Hall located at rear of School. Entrance to School grounds: Access to Hall is only available through rear Service road which runs off Irvine Street.,Public School,,,Majura Primary School,"Majura Primary School, Irvine St, WATSON, ACT 2602",Watson,Fenner,ACT,3041,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3041/Majura-Primary-School-Watson-Cake-Stall-and-Breakfast-Sausage-Sizzle/no
,146.572,FALSE,FALSE,FALSE,FALSE,,,,-34.2878,,,,,None,2 entrances - one corner Boree St/Mulga Streets - other from Mulga St. School gr ounds level - all concreted. One small s tep into classroom.,Public School,,,Barellan Central School,"Barellan Central School, Boree St, BARELLAN, NSW 2665",Barellan,Farrer,NSW,,
,152.9799843,FALSE,FALSE,FALSE,FALSE,,,,-27.4591395,,,,,Assisted,The Drive Cecil Rd,,,,St Joseph's School,"St Joseph's School, 41 The Drive, BARDON, QLD 4065",Bardon,Ryan,QLD,,
,153.139,FALSE,FALSE,FALSE,FALSE,,,,-27.6285,,,,,Full,Entrance via Raleigh Street,State School,,,Chatswood Hills State School,"Chatswood Hills State School, 21-35 Raleigh St, SPRINGWOOD, QLD 4127",Chatswood Hills,Rankin,QLD,,
,153.132936,FALSE,FALSE,FALSE,FALSE,,,,-27.640973,,,,,Assisted,Entrance from Paradise Rd,Church,,,Salvation Army Hall Life Community Church,"Salvation Army Hall Life Community Church, 123 Paradise Rd, SLACKS CREEK, QLD 4127",Mabel Park,Rankin,QLD,,
,152.889,FALSE,FALSE,FALSE,FALSE,,,,-27.5504,,,,,Assisted,Moggill Rd,Church,,,Bellbowrie Community Church,"Bellbowrie Community Church, 3077 Moggill Rd, BELLBOWRIE, QLD 4070",Bellbowrie,Ryan,QLD,,
"Located at 89 Fairley St Indooroopilly. There will be a Sausage Sizzle, Cake Stall and Book Stall",152.98,FALSE,FALSE,TRUE,TRUE,2016-06-28 14:16:48.319465+00,2016-06-28 14:16:48.319465+00,,-27.5032,St Andrews Church Indooroopilly Sausage Sizzle,,,{},Assisted,Fairley St,Church,,,St Andrew's Anglican Church,"St Andrew's Anglican Church, 89 Fairley St, INDOOROOPILLY, QLD 4068",Indooroopilly East,Ryan,QLD,3408,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3408/Indooroopilly-East/no
"Sausages, Bread, Onions, Drinks, Cakes, plants",152.9553616,FALSE,FALSE,TRUE,TRUE,2016-06-29 12:23:56.072359+00,2016-06-29 12:23:56.072359+00,,-27.4149287,Keperra Baptist Church and Girls Brigade,,,{},Assisted,Samford Rd,Church,,,Baptist Church Hall,"Baptist Church Hall, 980 Samford Rd, KEPERRA, QLD 4054",Keperra,Ryan,QLD,3516,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3516/Keperra/no
Plenty of luxury jams and hot food options,152.9439354,FALSE,FALSE,TRUE,TRUE,2016-07-02 06:40:02.464893+00,2016-07-02 06:40:02.464893+00,,-27.4995545,"Sausages, jams and sweets",,User-submitted,"{""has_vego"":true}",Assisted,Ironbark Rd,Public School,,,Chapel Hill State School,"Chapel Hill State School, 20 Ironbark Rd, CHAPEL HILL, QLD 4069",Chapel Hill,Ryan,QLD,,
,152.972,FALSE,FALSE,FALSE,TRUE,2016-07-01 23:02:12.883674+00,2016-07-01 22:56:57.241325+00,,-27.5017,,,,{},Assisted,Station Rd Musgrave Rd,Church,,,Indooroopilly Uniting Church,"Indooroopilly Uniting Church, Cnr Station and Musgrave Rds, INDOOROOPILLY, QLD 4068",Indooroopilly,Ryan,QLD,,
,152.965,FALSE,TRUE,FALSE,FALSE,2016-07-02 02:46:48.227219+00,2016-07-02 02:46:48.227219+00,,-27.4041,,,Twitter,{},Full,Blaker Rd Lesina St,Community Hall,,,Grovely Scout Hall,"Grovely Scout Hall, 170 Blaker Rd, MITCHELTON, QLD 4053",Oxford Park,Ryan,QLD,,
,152.9773718,FALSE,FALSE,FALSE,FALSE,,,,-27.4163073,,,,,Assisted,Tel-El-Kebir St,Senior Citizens Centre,,,Mitchelton & Districts Senior Citizens Centre,"Mitchelton & Districts Senior Citizens Centre, 30 Tel-El-Kebir St, MITCHELTON, QLD 4053",Gaythorne (Ryan),Ryan,QLD,,
"Sausages, Girl Guide Biscuits, Bake Sale",152.9990602,TRUE,FALSE,TRUE,TRUE,2016-07-02 05:17:16.73333+00,2016-07-01 22:35:06.253825+00,,-27.4638043,Girl Guides Bardon,,Twitter @reianna,{},Full,Enter via Fernberg Rd - Full access Beck St - Stair access only,,,,Lavalla Centre,"Lavalla Centre, 58 Fernberg Rd, PADDINGTON, QLD 4064",Milton (Ryan),Ryan,QLD,,
,138.59,FALSE,FALSE,FALSE,FALSE,,,,-34.9927,,,,,Assisted,"Main door to Disability Unit Central Are a entrance via Gate 1, Daws Rd only",Public School,,,Pasadena High School,"Pasadena High School, 269 Daws Road, PASADENA, SA 5042",Pasadena,Boothby,SA,,
"Sausages, bread, soft drinks and water ",138.53745,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:53:45.888084+00,2016-07-02 03:53:45.888084+00,,-35.00332,Primary school sausage sizzle ,,,{},Assisted,Main door to Gym,Public School,,,Warradale Primary School,"Warradale Primary School, 2-16 Keynes Ave, WARRADALE, SA 5046",Warradale,Boothby,SA,4434,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/4434/Warradale/no
,152.981,FALSE,FALSE,FALSE,FALSE,,,,-27.4872,,,,,Full,Bywong St,,,,Qld Academy SMT,"Qld Academy SMT, 78 Bywong St, TOOWONG, QLD 4066",Toowong West,Ryan,QLD,,
,152.9261899,FALSE,FALSE,FALSE,FALSE,,,,-27.4092237,,,,,Full,Enter from Hogarth Rd,,,,St Andrew's Catholic Primary School,"St Andrew's Catholic Primary School, 89 Hogarth Rd, FERNY GROVE, QLD 4055",Upper Kedron,Ryan,QLD,,
,152.9530656,FALSE,FALSE,FALSE,FALSE,,,,-27.5079955,,,,,None,Chapel Hill Rd,Church,,,Chapel Hill Uniting Church,"Chapel Hill Uniting Church, Cnr Chapel Hill & Moggill Rds, CHAPEL HILL, QLD 4069",Chapel Hill South,Ryan,QLD,,
,152.6668328,FALSE,FALSE,FALSE,FALSE,,,,-26.1883904,,,,,Assisted,Entrance to polling place: Mellor St,Senior Citizens Centre,,,Gympie Senior Citizens Centre,"Gympie Senior Citizens Centre, 40 Mellor St, GYMPIE, QLD 4570",Gympie Central,Wide Bay,QLD,,
,151.9566971,FALSE,FALSE,FALSE,FALSE,,,,-26.2912323,,,,,Assisted,,,,,Cherbourg Council Chambers,"Cherbourg Council Chambers, 22 Barambah Ave, CHERBOURG, QLD 4605",Cherbourg,Wide Bay,QLD,,
,152.8881328,FALSE,FALSE,FALSE,FALSE,,,,-25.6723807,,,,,Assisted,Entrance to polling place: Eckert Rd,Community Hall,,,Boonooroo Hall,"Boonooroo Hall, Eckert Rd, BOONOOROO, QLD 4650",Boonooroo,Wide Bay,QLD,,
,152.9970324,FALSE,FALSE,FALSE,FALSE,,,,-26.2858063,,,,,Assisted,Entrance to Grounds: Boreen Pde,Other,,,Lake Cootharaba Sailing Club,"Lake Cootharaba Sailing Club, 24 Boreen Pde, BOREEN POINT, QLD 4565",Boreen Point,Wide Bay,QLD,,
,152.689,FALSE,FALSE,FALSE,FALSE,,,,-25.5157,,,,,Assisted,Entrance to polling place: Boys Ave,Public School,,,Aldridge State High School,"Aldridge State High School, Boys Ave, MARYBOROUGH, QLD 4650",Bell Hilltop,Wide Bay,QLD,,
,152.678,FALSE,FALSE,FALSE,FALSE,,,,-26.1901,,,,,Assisted,Entrance to polling place: Cootharaba Rd,Public School,,,Gympie State High School,"Gympie State High School, Cootharaba Rd, GYMPIE, QLD 4570",Cootharaba Rd,Wide Bay,QLD,,
,152.579,FALSE,FALSE,FALSE,FALSE,,,,-26.0836,,,,,None,Entrance to polling place: David Dr,,,,Curra Country Club,"Curra Country Club, 10 David Dr, CURRA, QLD 4570",Curra,Wide Bay,QLD,,
"Sausage sizzle, food trucks and cake stalls!",144.995129,FALSE,FALSE,TRUE,TRUE,2016-06-30 12:09:51.176354+00,2016-06-30 12:09:51.176354+00,,-37.921967,Brighton Beach Primary School,,,{},Assisted,Entrace to polling place: via Windermere Cres.,Public School,,,Brighton Beach Primary School,"Brighton Beach Primary School, Windermere Crescent, BRIGHTON, VIC 3186",Brighton Beach,Goldstein,VIC,3743,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3743/Brighton-Beach/no
Sausages in bread. Early AM until sold bacon and eggs in bread,145.121,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:56:02.733894+00,2016-07-02 03:56:02.733894+00,,-37.515,Lions Club of Whittlesea ,,,"{""has_bacon_and_eggs"":true}",Assisted,"The school has a number of entrances to the school grounds.  However, arrangemen ts have been made to post the notice on the entry door to he building being used  as the polling notice.  Party workers a re able to hand out material at that ent rance.",Public School,,,Whittlesea Secondary College,"Whittlesea Secondary College, 55 Laurel St, WHITTLESEA, VIC 3757",Whittlesea,McEwen,VIC,4122,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/4122/Whittlesea/no
,152.7794421,FALSE,FALSE,FALSE,FALSE,,,,-26.0769034,,,,,Assisted,Entrance to polling place: Ross Rd,,,,Goomboorian Memorial Hall,"Goomboorian Memorial Hall, Ross Rd, GOOMBOORIAN, QLD 4570",Goomboorian,Wide Bay,QLD,,
,152.6792682,FALSE,FALSE,FALSE,FALSE,,,,-26.4599189,,,,,Assisted,Entrance to polling place: Yabba Creek R d,Public School,,,Mary Valley State College,"Mary Valley State College, Yabba Creek Rd, IMBIL, QLD 4570",Imbil,Wide Bay,QLD,,
,117.237,FALSE,FALSE,FALSE,FALSE,,,,-33.0579,,,,,Assisted,Entrance from Burley St.,,,,Highbury Hall,"Highbury Hall, Burley St, HIGHBURY, WA 6313",Highbury,O'Connor,WA,,
,152.656,FALSE,FALSE,FALSE,FALSE,,,,-26.1752,,,,,Assisted,Entrance to polling place: Myall St,,,,James Nash High School,"James Nash High School, 109 Myall St,  GYMPIE, QLD 4570",Gympie North,Wide Bay,QLD,,
,152.6227501,FALSE,FALSE,FALSE,FALSE,,,,-25.8122571,,,,,Assisted,Entrance to polling place: Forestry Rd,State School,,,Bauple State School,"Bauple State School, 8 Forestry Rd, BAUPLE, QLD 4650",Bauple,Wide Bay,QLD,,
,152.2612106,FALSE,FALSE,FALSE,FALSE,,,,-25.5988929,,,,,Assisted,Entrance to polling place: Lahey St,State School,,,Brooweena State School,"Brooweena State School, Lahey St, BROOWEENA, QLD 4620",Brooweena,Wide Bay,QLD,,
,152.7216406,FALSE,FALSE,FALSE,FALSE,,,,-25.5442097,,,,,Assisted,Entrance to grounds: Cambridge St,Pre-School,,,Granville Community Kindergarten,"Granville Community Kindergarten, 162 Cambridge St, GRANVILLE, QLD 4650",Granville,Wide Bay,QLD,,
,152.6713409,FALSE,FALSE,FALSE,FALSE,,,,-26.1826105,,,,,Assisted,Entrance to polling place: Tucker St,Church,,,Gympie Church of Christ,"Gympie Church of Christ, Cnr Tucker & Horseshoe Sts, GYMPIE, QLD 4570",Horseshoe Bend,Wide Bay,QLD,,
,152.7110666,FALSE,FALSE,FALSE,FALSE,,,,-26.2938959,,,,,None,Entrance to polling place: Bruce Hwy,,,,Kybong Hall,"Kybong Hall, 1347 Bruce Hwy, KYBONG, QLD 4570",Kybong,Wide Bay,QLD,,
,152.7011422,FALSE,FALSE,FALSE,FALSE,,,,-25.5390928,,,,,Assisted,Entrance to polling place: Adelaide St,,,,St Paul's Memorial Hall,"St Paul's Memorial Hall, 200 Adelaide St, MARYBOROUGH, QLD 4650",Maryborough,Wide Bay,QLD,,
Sausage sizzle Burgers Cold Drinks and Tea and coffee Salad sandwich on request ,152.4845098,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:54:02.323342+00,2016-07-02 03:54:02.323342+00,,-26.0908019,Lower Wonga Hall,,,"{""has_coffee"":true}",Assisted,Entrance to polling place: Lower Wonga H all Rd,,,,Lower Wonga Hall,"Lower Wonga Hall, 7 Lower Wonga Hall Rd, LOWER WONGA, QLD 4570",Lower Wonga,Wide Bay,QLD,3991,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3991/Lower-Wonga/no
,153.0949678,FALSE,TRUE,FALSE,FALSE,2016-07-02 04:55:24.85309+00,2016-07-02 04:55:24.85309+00,,-26.4802236,,,Twitter,{},Assisted,Entrance to polling place: Rufous St,Pre-School,,,Peregian Beach Kindergarten,"Peregian Beach Kindergarten, 13 Rufous St, PEREGIAN BEACH, QLD 4573",Peregian Beach,Wide Bay,QLD,,
Sausage in a roll with sauce $3 Soft Drink and water $2,115.767982,FALSE,FALSE,FALSE,TRUE,2016-07-02 03:52:17.870336+00,2016-07-02 03:52:17.870336+00,,-32.3576151,Rockingham Lakes P&C Sausage Sizzle,,,{},Assisted,Entrance to School Grounds: Gate access off Laguadia Loop and Trevino Loop,Public School,,,Rockingham Lakes Primary School,"Rockingham Lakes Primary School, Laguardia Loop, PORT KENNEDY, WA 6172",Port Kennedy East,Brand,WA,3920,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3920/Port-Kennedy-East/no
,152.6194689,FALSE,FALSE,FALSE,FALSE,,,,-26.241087,,,,,Assisted,Entrance to polling place: Herron Rd,,,,Pie Creek Hall,"Pie Creek Hall, Cnr Herron & Eel Creek Rd, PIE CREEK, QLD 4570",Pie Creek,Wide Bay,QLD,,
,152.855392,FALSE,FALSE,FALSE,FALSE,,,,-26.365525,,,,,Assisted,Entrance to polling place: Reserve St Pomona,,,,Pomona Memorial School of Arts Hall,"Pomona Memorial School of Arts Hall, 6 Reserve St, POMONA, QLD 4568",Pomona,Wide Bay,QLD,,
,115.834,FALSE,FALSE,FALSE,FALSE,,,,-33.2527,,,,,Assisted,entrance to library.,Public School,,,Brunswick Junction Primary School,"Brunswick Junction Primary School, 6 Vincent St, BRUNSWICK, WA 6224",Brunswick,Forrest,WA,,
"Sausages, bread rolls, drinks, cakes, slices, biscuits, sweets",115.863,FALSE,FALSE,TRUE,TRUE,2016-06-25 07:43:44.955808+00,2016-06-25 07:43:44.955808+00,,-32.0751,Leeming Primary School Sausage Sizzle & Cake Stall,,Election Sausage Sizzle,{},Assisted,Meharry Rd,Public School,,,Leeming Primary School,"Leeming Primary School, 10 Meharry Rd, LEEMING, WA 6149",Leeming,Tangney,WA,2912,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/2912/Leeming-Primary-School-Leeming-Primary-School-Sausage-Sizzle-&-Cake-Stall/no
,152.0453021,FALSE,FALSE,FALSE,FALSE,,,,-26.0346204,,,,,Assisted,Entrance to polling place: Tansey Hall R d,,,,Tansey Bowls Club,"Tansey Bowls Club, 28 Tansey Hall Rd, TANSEY, QLD 4601",Tansey,Wide Bay,QLD,,
"Sausage sizzle, egg bacon rolls, cake stall, drinks",115.964287,FALSE,FALSE,TRUE,TRUE,2016-06-30 06:17:50.481756+00,2016-06-30 06:17:50.481756+00,,-31.785552,Ellenbrook Secondary College Music Parents,,,"{""has_bacon_and_eggs"":true}",Assisted,Parking and entrance from School Lane.,Public School,,,Ellenbrook Secondary College,"Ellenbrook Secondary College, 100 Main St, ELLENBROOK, WA 6069",Ellenbrook West,Pearce,WA,3658,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3658/Ellenbrook-West/no
,140.794,FALSE,FALSE,FALSE,FALSE,,,,-37.8402,,,,,Assisted,Entry off Boandik Tce,Public School,,,Melaleuca Park Primary School,"Melaleuca Park Primary School, Boandik Tce, MOUNT GAMBIER, SA 5290",Mount Gambier East,Barker,SA,,
,115.63392,FALSE,FALSE,FALSE,FALSE,,,,-33.35755,,,,,Assisted,entrance to undercroft block.,Public School,,,Adam Road Primary School,"Adam Road Primary School, Hotchin St, SOUTH BUNBURY, WA 6230",Coral Park,Forrest,WA,,
,152.701,FALSE,FALSE,FALSE,FALSE,,,,-26.1357,,,,,Assisted,Entrance to polling place: Sandy Creek R d,Community Hall,,,Veteran Hall,"Veteran Hall, 594 Sandy Creek Rd, VETERAN, QLD 4570",Veteran,Wide Bay,QLD,,
,152.9971,FALSE,FALSE,FALSE,FALSE,,,,-26.4169,,,,,Assisted,Entrance to polling place: Sunrise Rd,Community Hall,,,Tinbeerwah Hall,"Tinbeerwah Hall, Sunrise Rd, TINBEERWAH, QLD 4563",Tinbeerwah,Wide Bay,QLD,,
,152.9918289,FALSE,FALSE,FALSE,FALSE,,,,-27.9907256,,,,,Assisted,,,,,St. Marys Catholic Primary School,"St. Marys Catholic Primary School, 1 Bromelton St, BEAUDESERT, QLD 4285",Beaudesert,Wright,QLD,,
,152.8717362,FALSE,FALSE,FALSE,FALSE,,,,-26.2625595,,,,,None,Entrance to polling place: Main St,State School,,,Kin Kin State School,"Kin Kin State School, 26-32 Main St, KIN KIN, QLD 4571",Kin Kin,Wide Bay,QLD,,
,152.694,FALSE,FALSE,FALSE,FALSE,,,,-25.5225,,,,,None,Entrance to polling place: North St,State School,,,Maryborough West State School,"Maryborough West State School, 149 North St, MARYBOROUGH, QLD 4650",Maryborough West,Wide Bay,QLD,,
,153.049014,FALSE,FALSE,FALSE,FALSE,,,,-26.407803,,,,,Assisted,Entrance to polling place: Eumundi-Noosa  Rd,Church,,,Good Shepherd Lutheran Church Hall,"Good Shepherd Lutheran Church Hall, 115 Eumundi-Noosa Rd, NOOSAVILLE, QLD 4566",Noosaville,Wide Bay,QLD,,
,153.075,FALSE,FALSE,FALSE,FALSE,,,,-26.4042,,,,,Assisted,Entrance to polling place: Weyba Rd,Church,,,Noosa Baptist Church Hall,"Noosa Baptist Church Hall, 213 Weyba Rd, NOOSAVILLE, QLD 4566",Weyba,Wide Bay,QLD,,
,153.0225778,FALSE,FALSE,FALSE,FALSE,,,,-27.4688591,,,,,Assisted,Venue in Brisbane CBD. Details to be con firmed.,,,,Primary Industries Building,"Primary Industries Building, 80 Ann St, BRISBANE CITY, QLD 4000",Brisbane City (Wright),Wright,QLD,,
,152.9550988,FALSE,FALSE,FALSE,FALSE,,,,-27.808439,,,,,Assisted,Entrance to polling place:  Main doors to Sporting Complex. Entance to grounds:  Car Park on Poinciana Drive.,Public School,,,Flagstone State Community College,"Flagstone State Community College, Poinciana Dr, JIMBOOMBA, QLD 4280",Flagstone,Wright,QLD,,
"Cakes, biscuits and other goodies for sale - from 8.30am until sold out! ",149.076,FALSE,FALSE,TRUE,FALSE,2016-06-28 14:09:49.285588+00,2016-06-28 14:09:49.285588+00,,-35.342,Lyons Early Childhood School cake stall,,,{},Assisted,Main Entrance Tarraleah Cres down steps to enter Hall foyer on western side (separate from Main Building) - left of school (west),Public School,,,Lyons Early Childhood School,"Lyons Early Childhood School, Tarraleah Cres, LYONS, ACT 2606",Lyons,Canberra,ACT,3232,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3232/Lyons-Early-Childhood-School-Lyons-Early-Childhood-School-cake-stall/no
,138.6746,FALSE,FALSE,FALSE,FALSE,,,,-34.70362,,,,,Assisted,Access is via Amport Rd,Public School,,,Elizabeth North Primary School,"Elizabeth North Primary School, Woodford Rd, ELIZABETH NORTH, SA 5113",Elizabeth North,Wakefield,SA,,
,117.897,FALSE,FALSE,FALSE,FALSE,,,,-27.4208,,,,,Assisted,entrance to the school staff room from the main school entrance,Public School,,,Cue Primary School,"Cue Primary School, 54 Stewart St, CUE, WA 6640",Cue,Durack,WA,,
,114.168,FALSE,FALSE,FALSE,FALSE,,,,-27.7074,,,,,Assisted,main school entrance,Public School,,,Kalbarri District High School,"Kalbarri District High School, 48 Hackney St,  KALBARRI, WA 6536",Kalbarri,Durack,WA,,
,115.701,FALSE,FALSE,FALSE,FALSE,,,,-33.313,,,,,Assisted,entrance to undercover,Public School,,,Eaton Primary School,"Eaton Primary School, 35 Diadem St, EATON, WA 6232",Eaton,Forrest,WA,,
,149.798,FALSE,FALSE,FALSE,FALSE,,,,-35.4413,,,,,Assisted,enter school grounds in Wilson street and enter main school hall,Public School,,,Braidwood Central School,"Braidwood Central School, 46 Wilson Street, BRAIDWOOD, NSW 2622",Braidwood,Eden-Monaro,NSW,,
,152.98329,FALSE,FALSE,FALSE,FALSE,,,,-27.73049,,,,,Assisted,Entrance to polling place:  Main door to Currong Rooms. Entrance to grounds:  Main driveway gate on Teviot Rd.,,,,Greenbank Community Centre,"Greenbank Community Centre, 145-167 Teviot Rd, GREENBANK, QLD 4124",Greenbank South,Wright,QLD,,
,138.536,FALSE,FALSE,FALSE,FALSE,,,,-35.0791,,,,,Assisted,Main door to Gymnasium,Public School,,,Woodend Primary School,"Woodend Primary School, 10-22 Edward Beck Dr, SHEIDOW PARK, SA 5158",Trott Park,Kingston,SA,,
,150.952,FALSE,FALSE,FALSE,FALSE,,,,-33.8853,,,,,Assisted,Entrance to school grounds:- Main gate on Prospect Rd,Public School,,,Canley Vale High School,"Canley Vale High School, Prospect Rd, CANLEY VALE, NSW 2166",Canley Vale North,Fowler,NSW,,
"Uraidla PS is hosting the election with cakes, soups, coffee, tea and hot chocolate. The Uraidla Kindy are cooking sausages. Pop in for ice cream, slices, toasted sandwiches, quiche, cool drinks! Weve got everything!",138.745,FALSE,FALSE,TRUE,TRUE,2016-06-29 12:23:23.859915+00,2016-06-29 12:23:23.859915+00,,-34.9584,Uraidla PS & Kindy sausage sizzle & cake stall,,,"{""has_coffee"":true}",Assisted,Main door to Gym,Public School,,,Uraidla Primary School,"Uraidla Primary School, 17 Kidney St, URAIDLA, SA 5142",Uraidla,Mayo,SA,3492,http://www.electionsausagesizzle.com.au/federal-election-2016/sausage-sizzle-map/3492/Uraidla/no
,153.007,FALSE,FALSE,FALSE,FALSE,,,,-28.2152,,,,,Assisted,Access from Widgee Creek Road - Main Ent rance to Building from Ramp at rear. Grounds not fenced.,,,,Hillview Memorial Hall,"Hillview Memorial Hall, Widgee Creek Rd, HILLVIEW, QLD 4285",Hillview,Wright,QLD,,
,153.3560729,FALSE,FALSE,FALSE,FALSE,,,,-28.0976792,,,,,Assisted,Entrance to Polling Place:  Main door to Hall. Entrance to grounds:  Driveway entrance of Wallaby Drive into car park.,Community Hall,,,St. Benedict's Catholic Community Hall,"St. Benedict's Catholic Community Hall, 2 Wallaby Dr, MUDGEERABA, QLD 4213",Bonogin (Wright),Wright,QLD,,
,153.187,FALSE,FALSE,FALSE,FALSE,,,,-28.1237,,,,,Assisted,Access from Beechmont Road - 1 Pedestria n Gate.,State School,,,Beechmont State School,"Beechmont State School, 1922 Beechmont Rd, BEECHMONT, QLD 4211",Beechmont,Wright,QLD,,
,152.331,FALSE,FALSE,FALSE,FALSE,,,,-27.6491,,,,,Assisted,Entrance to polling place:  Main door to Resource Centre. Entrance to grounds:  Double driveway gates on Blenheim Road and 1 Pedestrian gate entrance on Mount Berryman Road.,State School,,,Blenheim State School,"Blenheim State School, 81 Blenheim Rd, BLENHEIM, QLD 4341",Blenheim,Wright,QLD,,
,153.02685,FALSE,FALSE,FALSE,FALSE,,,,-27.6643,,,,,Assisted,Entrance via Stangate Street,Child Care Centre,,,Kidi Kingdom Childcare Centre,"Kidi Kingdom Childcare Centre, 16 Sweetgum St, HILLCREST, QLD 4118",Hillcrest (Wright),Wright,QLD,,
,152.999,FALSE,FALSE,FALSE,FALSE,,,,-27.9913,,,,,Assisted,Entrance to polling place: Double doors facing Albert St and Ramp access to the right of main entrance. Entrance to grounds: Pedestrian access v ia Albert St and Vehicle access via Henl ey St.,Church,,,Anglican Church Hall,"Anglican Church Hall, 7 Albert St, BEAUDESERT, QLD 4285",Beaudesert East,Wright,QLD,,
